drugbank_id,drug_name
DB00900,didanosine
DB00901,bitolterol
DB00902,methdilazine
DB00903,etacrynic acid
DB00904,ondansetron
DB00905,bimatoprost
DB00906,tiagabine
DB00907,cocaine
DB00908,quinidine
DB00909,zonisamide
DB00910,paricalcitol
DB00911,tinidazole
DB00912,repaglinide
DB00913,anileridine
DB00914,phenformin
DB00915,amantadine
DB00916,metronidazole
DB00917,dinoprostone
DB00918,almotriptan
DB00919,spectinomycin
DB00920,ketotifen
DB00921,buprenorphine
DB00922,levosimendan
DB00923,ceforanide
DB00924,cyclobenzaprine
DB00925,phenoxybenzamine
DB00926,etretinate
DB00927,famotidine
DB00928,azacitidine
DB00929,misoprostol
DB00930,colesevelam
DB00931,metacycline
DB00932,tipranavir
DB00933,mesoridazine
DB00934,maprotiline
DB00935,oxymetazoline
DB00936,salicylic acid
DB00937,diethylpropion
DB00938,salmeterol
DB00939,meclofenamic acid
DB00940,methantheline
DB00941,hexafluronium
DB00942,cycrimine
DB00943,zalcitabine
DB00944,demecarium
DB00945,acetylsalicylic acid
DB00946,phenprocoumon
DB00947,fulvestrant
DB00948,mezlocillin
DB00949,felbamate
DB00950,fexofenadine
DB00951,isoniazid
DB00952,naratriptan
DB00953,rizatriptan
DB00954,dirithromycin
DB00955,netilmicin
DB00956,hydrocodone
DB00957,norgestimate
DB00958,carboplatin
DB00959,methylprednisolone
DB00960,pindolol
DB00961,mepivacaine
DB00962,zaleplon
DB00963,bromfenac
DB00964,apraclonidine
DB00965,ethiodized oil
DB00966,telmisartan
DB00967,desloratadine
DB00968,methyldopa
DB00969,alosetron
DB00970,dactinomycin
DB00971,selenium sulfide
DB00972,azelastine
DB00973,ezetimibe
DB00974,edetic acid
DB00975,dipyridamole
DB00976,telithromycin
DB00977,ethinylestradiol
DB00978,lomefloxacin
DB00979,cyclopentolate
DB00980,ramelteon
DB00981,physostigmine
DB00982,isotretinoin
DB00983,formoterol
DB00984,nandrolone phenpropionate
DB00985,dimenhydrinate
DB00986,glycopyrronium
DB00987,cytarabine
DB00988,dopamine
DB00989,rivastigmine
DB00990,exemestane
DB00991,oxaprozin
DB00992,methyl aminolevulinate
DB00993,azathioprine
DB00994,neomycin
DB00995,auranofin
DB00996,gabapentin
DB00997,doxorubicin
DB00998,frovatriptan
DB00999,hydrochlorothiazide
DB01000,cyclacillin
DB01001,albuterol
DB01002,levobupivacaine
DB01003,cromoglicic acid
DB01004,ganciclovir
DB01005,hydroxyurea
DB01006,letrozole
DB01007,tioconazole
DB01008,busulfan
DB01009,ketoprofen
DB01010,edrophonium
DB01011,metyrapone
DB01012,cinacalcet
DB01013,clobetasol propionate
DB01014,balsalazide
DB01015,sulfamethoxazole
DB01016,glyburide
DB01017,minocycline
DB01018,guanfacine
DB01019,bethanechol
DB01020,isosorbide mononitrate
DB01021,trichlormethiazide
DB01022,phylloquinone
DB01023,felodipine
DB01024,mycophenolic acid
DB01025,amlexanox
DB01026,ketoconazole
DB01028,methoxyflurane
DB01029,irbesartan
DB01030,topotecan
DB01031,ethinamate
DB01032,probenecid
DB01033,mercaptopurine
DB01034,cerulenin
DB01035,procainamide
DB01036,tolterodine
DB01037,selegiline
DB01038,carphenazine
DB01039,fenofibrate
DB01041,thalidomide
DB01042,melphalan
DB01043,memantine
DB01044,gatifloxacin
DB01045,rifampin
DB01046,lubiprostone
DB01047,fluocinonide
DB01048,abacavir
DB01049,ergoloid mesylate
DB01050,ibuprofen
DB01051,novobiocin
DB01053,benzylpenicillin
DB01054,nitrendipine
DB01055,mimosine
DB01056,tocainide
DB01057,echothiophate
DB01058,praziquantel
DB01059,norfloxacin
DB01060,amoxicillin
DB01061,azlocillin
DB01062,oxybutynin
DB01063,acetophenazine
DB01064,isoprenaline
DB01065,melatonin
DB01066,cefditoren
DB01067,glipizide
DB01068,clonazepam
DB01069,promethazine
DB01070,dihydrotachysterol
DB01071,mequitazine
DB01072,atazanavir
DB01073,fludarabine
DB01074,perhexiline
DB01075,diphenhydramine
DB01076,atorvastatin
DB01077,etidronic acid
DB01078,deslanoside
DB01079,tegaserod
DB01080,vigabatrin
DB01081,diphenoxylate
DB01082,streptomycin
DB01083,orlistat
DB01084,emedastine
DB01085,pilocarpine
DB01086,benzocaine
DB01087,primaquine
DB01088,iloprost
DB01089,deserpidine
DB01090,pentolinium
DB01091,butenafine
DB01092,ouabain
DB01093,dimethyl sulfoxide
DB01094,hesperetin
DB01095,fluvastatin
DB01096,oxamniquine
DB01097,leflunomide
DB01098,rosuvastatin
DB01099,flucytosine
DB01100,pimozide
DB01101,capecitabine
DB01102,arbutamine
DB01103,quinacrine
DB01104,sertraline
DB01105,sibutramine
DB01106,levocabastine
DB01107,methyprylon
DB01108,trilostane
DB01109,heparin
DB01110,miconazole
DB01111,colistimethate
DB01112,cefuroxime
DB01113,papaverine
DB01114,chlorpheniramine
DB01115,nifedipine
DB01116,trimethaphan
DB01117,atovaquone
DB01118,amiodarone
DB01119,diazoxide
DB01120,gliclazide
DB01121,phenacemide
DB01122,ambenonium
DB01123,proflavine
DB01124,tolbutamide
DB01125,anisindione
DB01126,dutasteride
DB01127,econazole
DB01128,bicalutamide
DB01129,rabeprazole
DB01130,prednicarbate
DB01131,proguanil
DB01132,pioglitazone
DB01133,tiludronic acid
DB01134,desoxycorticosterone pivalate
DB01135,doxacurium
DB01136,carvedilol
DB01137,levofloxacin
DB01138,sulfinpyrazone
DB01139,cefapirin
DB01140,cefadroxil
DB01141,micafungin
DB01142,doxepin
DB01143,amifostine
DB01144,diclofenamide
DB01145,sulfoxone
DB01146,diphenylpyraline
DB01147,cloxacillin
DB01148,flavoxate
DB01149,nefazodone
DB01150,cefprozil
DB01151,desipramine
DB01152,candicidin
DB01153,sertaconazole
DB01154,thiamylal
DB01155,gemifloxacin
DB01156,bupropion
DB01157,trimetrexate
DB01158,bretylium
DB01159,halothane
DB01160,dinoprost tromethamine
DB01161,chloroprocaine
DB01162,terazosin
DB01163,amdinocillin
DB01164,calcium chloride
DB01165,ofloxacin
